company_id,company_name,company_type,tax_id,country_code,created_at
1,Demo Horizon Airlines,AIRLINE,,VN,2026-09-01 00:00:00
2,Demo Pacific Air,AIRLINE,,VN,2026-09-01 00:00:00
3,Demo Skyline MRO,MRO,,VN,2026-09-01 00:00:00
4,Demo Meridian Airlines,AIRLINE,,VN,2026-09-01 00:00:00
5,Demo Atlas MRO,MRO,,VN,2026-09-01 00:00:00
6,Demo Coastal Air,AIRLINE,,VN,2026-09-01 00:00:00
7,Demo Aero Supply 001,SUPPLIER,,US,2026-09-01 00:00:00
8,Demo Aero Supply 002,SUPPLIER,,US,2026-09-01 00:00:00
9,Demo Aero Supply 003,SUPPLIER,,US,2026-09-01 00:00:00
10,Demo Aero Supply 004,SUPPLIER,,US,2026-09-01 00:00:00
11,Demo Aero Supply 005,SUPPLIER,,US,2026-09-01 00:00:00
12,Demo Aero Supply 006,SUPPLIER,,US,2026-09-01 00:00:00
13,Demo Aero Supply 007,SUPPLIER,,US,2026-09-01 00:00:00
14,Demo Aero Supply 008,SUPPLIER,,US,2026-09-01 00:00:00
15,Demo Aero Supply 009,SUPPLIER,,US,2026-09-01 00:00:00
16,Demo Aero Supply 010,SUPPLIER,,US,2026-09-01 00:00:00
17,Demo Aero Supply 011,SUPPLIER,,US,2026-09-01 00:00:00
18,Demo Aero Supply 012,SUPPLIER,,US,2026-09-01 00:00:00
19,Demo Aero Supply 013,SUPPLIER,,US,2026-09-01 00:00:00
20,Demo Aero Supply 014,SUPPLIER,,US,2026-09-01 00:00:00
21,Demo Aero Supply 015,SUPPLIER,,US,2026-09-01 00:00:00
22,Demo Aero Supply 016,SUPPLIER,,US,2026-09-01 00:00:00
23,Demo Aero Supply 017,SUPPLIER,,US,2026-09-01 00:00:00
24,Demo Aero Supply 018,SUPPLIER,,US,2026-09-01 00:00:00
25,Demo Aero Supply 019,SUPPLIER,,US,2026-09-01 00:00:00
26,Demo Aero Supply 020,SUPPLIER,,US,2026-09-01 00:00:00
27,Demo Aero Supply 021,SUPPLIER,,US,2026-09-01 00:00:00
28,Demo Aero Supply 022,SUPPLIER,,US,2026-09-01 00:00:00
29,Demo Aero Supply 023,SUPPLIER,,US,2026-09-01 00:00:00
30,Demo Aero Supply 024,SUPPLIER,,US,2026-09-01 00:00:00
31,Demo Aero Supply 025,SUPPLIER,,US,2026-09-01 00:00:00
32,Demo Aero Supply 026,SUPPLIER,,US,2026-09-01 00:00:00
33,Demo Aero Supply 027,SUPPLIER,,US,2026-09-01 00:00:00
34,Demo Aero Supply 028,SUPPLIER,,US,2026-09-01 00:00:00
35,Demo Aero Supply 029,SUPPLIER,,US,2026-09-01 00:00:00
36,Demo Aero Supply 030,SUPPLIER,,US,2026-09-01 00:00:00
37,Demo Aero Supply 031,SUPPLIER,,US,2026-09-01 00:00:00
38,Demo Aero Supply 032,SUPPLIER,,US,2026-09-01 00:00:00
39,Demo Aero Supply 033,SUPPLIER,,US,2026-09-01 00:00:00
40,Demo Aero Supply 034,SUPPLIER,,US,2026-09-01 00:00:00
41,Demo Aero Supply 035,SUPPLIER,,US,2026-09-01 00:00:00
42,Demo Aero Supply 036,SUPPLIER,,US,2026-09-01 00:00:00
43,Demo Aero Supply 037,SUPPLIER,,US,2026-09-01 00:00:00
44,Demo Aero Supply 038,SUPPLIER,,US,2026-09-01 00:00:00
45,Demo Aero Supply 039,SUPPLIER,,US,2026-09-01 00:00:00
46,Demo Aero Supply 040,SUPPLIER,,US,2026-09-01 00:00:00
47,Demo Aviation Marketplace,PLATFORM,,VN,2026-09-01 00:00:00
